Jour;Heure;Coef;Hauteur (m)
2024/09/15;01:09;54;03,47
2024/09/15;07:10;;01,43
2024/09/15;13:27;64;03,82
2024/09/15;19:37;;01,40
2024/09/16;01:58;74;03,78
2024/09/16;07:55;;01,80
2024/09/16;14:14;83;04,17
2024/09/16;20:20;;00,69
2024/09/17;02:41;91;04,70
2024/09/17;08:36;;00,76
2024/09/17;14:57;99;04,46
2024/09/17;21:01;;00,42
2024/09/18;03:22;105;04,29
2024/09/18;09:17;;00,50
2024/09/18;15:39;110;04,66
2024/09/18;21:42;;00,25
2024/09/19;04:02;113;04,42
2024/09/19;09:59;;00,35
2024/09/19;16:21;115;04,73
2024/09/19;22:23;;00,23
2024/09/20;04:42;114;04,43
2024/09/20;10:41;;00,33
2024/09/20;17:03;112;04,64
2024/09/20;23:05;;00,37
2024/09/21;05:23;108;04,32
2024/09/21;11:24;;00,47
2024/09/21;17:47;102;04,40
