Jour;Heure;Coef;Hauteur (m)
2015/03/01;03:09;;02,64
2015/03/01;08:38;71;11,80
2015/03/01;15:18;;02,89
2015/03/01;20:46;66;10,93
2015/03/02;03:30;;03,13
2015/03/02;09:00;61;10,59
2015/03/02;15:43;;03,43
2015/03/02;21:10;56;10,31
2015/03/03;03:54;;03,72
2015/03/03;09:24;50;10,00
2015/03/03;16:13;;04,60
2015/03/03;21:40;44;09,61
2015/03/04;04:27;;04,38
2015/03/04;09:57;39;09,32
2015/03/04;16:57;;04,71
2015/03/04;22:25;33;08,83
2015/03/05;05:18;;05,50
2015/03/05;10:56;29;08,59
2015/03/05;18:09;;05,22
2015/03/06;00:06;28;08,22
2015/03/06;06:48;;05,46
2015/03/06;13:24;31;08,37
2015/03/06;20:11;;05,80
2015/03/07;02:23;37;08,59
2015/03/07;08:59;;04,99
2015/03/07;15:03;45;09,19
2015/03/07;21:44;;04,12
2015/03/08;04:27;;04,38
2015/03/08;09:57;39;09,32
2015/03/08;16:57;;04,71
2015/03/08;22:25;33;08,83
2015/03/09;05:18;;05,50
2015/03/09;10:56;29;08,59
2015/03/09;18:09;;05,22
2015/03/10;00:06;28;08,22
2015/03/10;06:48;;05,46
2015/03/10;13:24;31;08,37
2015/03/10;20:11;;05,80
2015/03/11;02:23;37;08,59
2015/03/11;08:59;;04,99
2015/03/11;15:03;45;09,19
2015/03/11;21:44;;04,12
2015/03/12;03:38;54;09,59
2015/03/12;10:17;;03,90
2015/03/12;16:05;64;10,33
2015/03/12;22:49;;02,97
2015/03/13;04:33;74;10,71
2015/03/13;11:18;;02,78
2015/03/13;16:55;83;11,49
2015/03/13;23:47;;01,91
2015/03/14;05:21;91;11,74
2015/03/14;12:13;;01,81
2015/03/14;17:42;99;12,46
