Jour;Heure;Coef;Hauteur (m)
2024/09/11;04:09;;04,21
2024/09/11;09:53;39;08,76
2024/09/11;16:40;;04,53
2024/09/11;22:21;33;08,32
2024/09/12;05:00;;04,85
2024/09/12;10:53;29;08,13
2024/09/12;17:55;;06,00
2024/09/12;23:56;28;07,79
2024/09/13;06:37;;05,24
2024/09/13;13:06;31;07,93
2024/09/13;19:56;;04,86
2024/09/14;02:11;37;09,00
2024/09/14;08:41;;04,80
2024/09/14;14:51;45;08,65
2024/09/14;21:25;;03,99
2024/09/15;03:29;54;09,20
2024/09/15;09:57;;03,82
2024/09/15;15:55;64;09,68
2024/09/15;22:28;;02,94
2024/09/16;04:26;74;10,40
2024/09/16;10:55;;02,79
2024/09/16;16:47;83;10,71
2024/09/16;23:22;;01,97
2024/09/17;05:16;91;10,96
2024/09/17;11:47;;01,90
2024/09/17;17:36;99;11,58
2024/09/18;04:09;;04,21
2024/09/18;09:53;39;08,76
2024/09/18;16:40;;04,53
2024/09/18;22:21;33;08,32
2024/09/19;05:00;;04,85
2024/09/19;10:53;29;08,13
2024/09/19;17:55;;06,00
2024/09/19;23:56;28;07,79
2024/09/20;06:37;;05,24
2024/09/20;13:06;31;07,93
2024/09/20;19:56;;04,86
2024/09/21;02:11;37;09,00
2024/09/21;08:41;;04,80
2024/09/21;14:51;45;08,65
2024/09/21;21:25;;03,99
2024/09/22;03:29;54;09,20
2024/09/22;09:57;;03,82
2024/09/22;15:55;64;09,68
2024/09/22;22:28;;02,94
2024/09/23;04:26;74;10,40
2024/09/23;10:55;;02,79
2024/09/23;16:47;83;10,71
2024/09/23;23:22;;01,97
2024/09/24;05:16;91;10,96
2024/09/24;11:47;;01,90
2024/09/24;17:36;99;11,58
